"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2024","2,524.10","2,528.90","2,534.00","2,505.60","5.72K","-0.13%"
"08/20/2024","2,527.40","2,519.10","2,546.80","2,511.70","10.60K","0.37%"
"08/19/2024","2,518.10","2,526.10","2,526.40","2,500.90","8.05K","0.14%"
"08/16/2024","2,514.50","2,471.50","2,524.60","2,465.80","12.01K","1.83%"
"08/15/2024","2,469.40","2,463.00","2,484.40","2,446.50","9.30K","0.50%"
"08/14/2024","2,457.10","2,483.30","2,496.60","2,454.00","7.64K","-1.12%"
"08/13/2024","2,484.90","2,488.60","2,494.00","2,475.10","8.32K","0.17%"
"08/12/2024","2,480.80","2,447.50","2,490.00","2,439.80","9.80K","1.24%"
"08/09/2024","2,450.40","2,443.40","2,453.40","2,433.90","6.57K","0.39%"
"08/08/2024","2,440.80","2,398.60","2,445.00","2,398.10","7.24K","1.27%"
"08/07/2024","2,410.30","2,408.50","2,425.10","2,397.00","6.13K","0.04%"
"08/06/2024","2,409.30","2,430.90","2,437.20","2,399.60","8.78K","-0.55%"
"08/05/2024","2,422.60","2,467.70","2,478.00","2,382.80","18.80K","-1.01%"
"08/02/2024","2,447.30","2,467.60","2,498.90","2,430.80","16.79K","-0.40%"
"08/01/2024","2,457.10","2,469.60","2,482.60","2,450.30","13.82K","0.32%"
"07/31/2024","2,449.30","2,432.40","2,472.60","2,425.70","12.47K","0.86%"
"07/30/2024","2,428.40","2,404.10","2,434.50","2,398.30","22.17K","1.58%"
"07/29/2024","2,390.70","2,398.80","2,412.00","2,380.30","3.08K","-0.13%"
"07/26/2024","2,393.70","2,376.30","2,401.80","2,370.90","0.90K","1.17%"
"07/25/2024","2,366.10","2,410.50","2,411.80","2,364.90","1.17K","-2.58%"
"07/24/2024","2,428.70","2,422.60","2,445.00","2,410.30","0.73K","0.35%"
"07/23/2024","2,420.20","2,411.00","2,423.30","2,402.50","1.60K","0.52%"
"07/22/2024","2,407.70","2,416.30","2,426.00","2,399.30","0.45K","-0.19%"
"07/19/2024","2,412.20","2,460.50","2,460.50","2,409.00","0.68K","-2.33%"
"07/18/2024","2,469.80","2,476.30","2,491.30","2,459.90","0.72K","-0.14%"
"07/17/2024","2,473.20","2,485.80","2,500.50","2,469.20","0.58K","-0.31%"
"07/16/2024","2,481.00","2,440.40","2,486.50","2,438.90","0.44K","1.59%"
"07/15/2024","2,442.10","2,433.00","2,453.90","2,420.00","0.31K","0.34%"
"07/12/2024","2,433.80","2,432.60","2,435.10","2,411.00","0.12K","-0.05%"
"07/11/2024","2,434.90","2,390.20","2,443.20","2,390.00","0.22K","1.77%"
"07/10/2024","2,392.50","2,382.90","2,405.70","2,382.80","0.12K","0.50%"
"07/09/2024","2,380.50","2,379.10","2,387.90","2,371.80","0.08K","0.18%"
"07/08/2024","2,376.20","2,411.20","2,411.20","2,372.40","0.10K","-1.41%"
"07/05/2024","2,410.20","2,379.00","2,413.00","2,375.20","0.05K","1.93%"
"07/04/2024","2,364.60","2,367.20","2,371.05","2,359.35","","-0.73%"
"07/03/2024","2,381.90","2,350.70","2,385.50","2,350.10","0.07K","1.55%"
"07/02/2024","2,345.60","2,344.40","2,348.20","2,344.40","0.02K","-0.22%"
"07/01/2024","2,350.80","2,355.20","2,356.00","2,347.80","0.14K","0.00%"
"06/28/2024","2,350.90","2,356.50","2,357.00","2,347.30","0.01K","0.09%"
"06/27/2024","2,348.70","2,331.80","2,364.30","2,330.00","3.55K","1.53%"
"06/26/2024","2,313.20","2,331.80","2,335.80","2,304.70","191.63K","-0.76%"
"06/25/2024","2,330.80","2,346.80","2,349.70","2,327.10","144.27K","-0.58%"
"06/24/2024","2,344.40","2,333.50","2,347.50","2,329.50","117.63K","0.57%"
"06/21/2024","2,331.20","2,373.80","2,382.60","2,329.20","194.82K","-1.60%"
"06/20/2024","2,369.00","2,344.20","2,379.50","2,338.50","252.69K","1.11%"
"06/19/2024","2,343.00","2,342.95","2,349.65","2,338.60","","-0.17%"
"06/18/2024","2,346.90","2,333.70","2,348.20","2,320.20","154.25K","0.77%"
